Date,Postal outcode,County,Latitude,Longitude,Number-Of-People,Number-Of-Showers,Number-Of-Toilets,Showers-Per-Week,Shower-Duration-Minutes,Washing-Machine-Per-Week,Dishwasher-Per-Week,Boil-Water-Per-Week,Bath-Frequency-Per-Week,Wash-Dishes-By-Hand,Has-Garden,Garden-Watering-Per-Week,Has-Swimming-Pool,Car-Wash-Per-Month,Household-Water-Use-Litres-Yearly,Bathroom-Water-Use-Litres-Yearly,Kitchen-Water-Use-Litres-Yearly,Outdoor-Water-Use-Litres-Yearly,Household-Water-Use-Money-£-Yearly,Person-Water-Use-Litres-Yearly,Person-Water-Use-Litres-Per-Day,Household-Water-Saving-Litres-Yearly,Household-Water-Saving-Money-£-Yearly,Household-Energy-Use-Money-£-Yearly,Household-Energy-Saving-kWh-Yearly,Household-Energy-Saving-Cost-£-Yearly
2020-01-11,DE1,Surrey,54.493,-2.0616,5,3,3,19,17,1,2,28,4,no,yes,2,no,2,262868,118290,65717,78860,525.74,52573,144.0,1361,2.72,1803.02,1569,147.16
2020-01-12,YO1,Derbyshire,54.4813,-1.7836,2,1,3,20,5,7,9,22,4,no,no,1,no,2,131438,59147,32859,39431,262.88,65719,180.1,19767,39.53,971.34,1687,24.1
2020-01-13,CM1,Leicestershire,53.4286,-3.909,1,4,1,12,17,1,9,22,3,yes,no,1,no,3,136531,61438,34132,40959,273.06,136531,374.1,4901,9.8,1182.08,1715,22.26
2020-01-14,GU1,Surrey,54.2949,0.4814,2,3,2,14,11,3,1,24,3,yes,no,3,no,2,127104,57196,31776,38131,254.21,63552,174.1,3267,6.53,635.74,346,190.31
2020-01-15,YO1,Derbyshire,50.4439,-2.0244,1,1,2,6,18,5,5,20,2,yes,yes,1,no,1,92587,41664,23146,27776,185.17,92587,253.7,6816,13.63,431.04,840,58.13
2020-01-16,YO1,Cheshire,54.325,-0.8077,1,3,2,12,16,7,3,8,4,yes,yes,4,no,3,154610,69574,38652,46383,309.22,154610,423.6,1496,2.99,1276.84,295,183.36
2020-01-17,CT1,Derbyshire,51.6031,-3.5932,2,3,1,7,6,3,3,23,0,no,no,4,no,2,81309,36589,20327,24392,162.62,40654,111.4,11914,23.83,709.94,864,26.65
2020-01-18,IP1,Derbyshire,50.8917,-3.0375,5,2,3,6,16,5,8,9,3,no,no,3,no,1,169901,76455,42475,50970,339.8,33980,93.1,10579,21.16,1871.94,629,131.17
2020-01-19,CM1,Derbyshire,51.1968,0.8933,4,3,2,18,9,7,9,6,4,no,yes,1,no,1,187370,84316,46842,56211,374.74,46842,128.3,5708,11.42,1057.43,716,114.8
2020-01-20,TR1,Cornwall,52.0898,-0.6522,3,1,1,7,5,5,7,21,3,yes,no,3,no,2,95236,42856,23809,28570,190.47,31745,87.0,14486,28.97,448.69,136,193.57
2020-01-21,YO1,Devon,51.256,1.2266,3,2,2,8,10,7,2,8,1,yes,yes,0,no,1,113712,51170,28428,34113,227.42,37904,103.8,14068,28.14,242.82,686,86.76
2020-01-22,LE1,Lancashire,51.6028,1.4931,1,1,2,9,16,6,8,10,4,yes,no,1,no,2,124413,55985,31103,37323,248.83,124413,340.9,3357,6.71,618.1,1072,19.2
2020-01-23,IP1,Leicestershire,50.6749,-1.9548,2,4,3,12,7,2,0,26,4,yes,no,1,no,2,95073,42782,23768,28521,190.15,47536,130.2,11142,22.28,775.86,1385,100.07
2020-01-24,TR1,Leicestershire,51.4809,-2.3566,1,3,1,9,9,2,6,22,1,yes,yes,1,no,2,64317,28942,16079,19295,128.63,64317,176.2,7121,14.24,572.54,132,166.6
2020-01-25,LE1,Cornwall,52.8614,0.721,4,1,3,16,5,1,6,10,3,no,no,1,no,2,132086,59438,33021,39625,264.17,33021,90.5,8328,16.66,858.08,647,19.97
2020-01-26,CM1,Yorkshire,52.2093,1.4924,1,2,1,12,6,4,1,24,1,no,no,4,no,1,65588,29514,16397,19676,131.18,65588,179.7,17196,34.39,1782.14,338,16.88
2020-01-27,EX1,Lancashire,51.7336,-0.537,4,1,2,13,18,1,6,19,2,no,yes,3,no,0,197381,88821,49345,59214,394.76,49345,135.2,12179,24.36,286.31,1730,166.13
2020-01-28,LE1,Surrey,53.7323,0.3733,3,3,2,16,19,5,6,5,0,no,yes,4,yes,3,217210,97744,54302,65163,434.42,72403,198.4,3233,6.47,1642.21,1815,166.56
2020-01-29,CH1,Yorkshire,54.4675,0.2996,2,1,2,14,6,6,8,21,3,no,yes,3,no,0,109052,49073,27263,32715,218.1,54526,149.4,15828,31.66,966.42,1525,48.0
2020-01-30,IP1,Lancashire,53.7839,-2.0456,2,3,2,6,7,4,5,6,4,yes,yes,0,yes,2,105211,47344,26302,31563,210.42,52605,144.1,9943,19.89,1831.55,1524,134.92
2020-01-31,LE1,Cheshire,51.66,-0.8415,3,4,3,15,4,3,9,8,2,no,yes,1,no,2,109029,49063,27257,32708,218.06,36343,99.6,14301,28.6,1400.69,1772,22.21
2020-02-01,LA1,Cheshire,53.7222,0.5818,5,3,2,5,19,5,9,28,3,no,yes,2,no,2,161420,72639,40355,48426,322.84,32284,88.4,10759,21.52,496.85,690,155.47
2020-02-02,EX1,Essex,50.7599,-0.2154,4,2,2,15,16,2,8,7,0,no,yes,4,no,0,201298,90584,50324,60389,402.6,50324,137.9,11977,23.95,1927.1,1920,67.99
2020-02-03,DE1,Norfolk,50.6516,-3.8836,2,2,1,17,9,1,2,25,4,yes,yes,2,no,3,132379,59570,33094,39713,264.76,66189,181.3,18291,36.58,478.49,231,53.8
2020-02-04,DE1,Cheshire,51.7281,-2.1481,3,2,1,6,14,1,7,7,1,yes,yes,0,no,0,108112,48650,27028,32433,216.22,36037,98.7,12437,24.87,805.33,1339,138.75
2020-02-05,CH1,Surrey,54.0385,-3.2054,2,3,1,8,9,3,3,28,0,no,yes,2,no,3,87811,39514,21952,26343,175.62,43905,120.3,15239,30.48,1961.85,1582,183.2
2020-02-06,LE1,Devon,51.2317,-2.7187,6,3,3,17,7,1,0,18,3,yes,yes,0,no,2,182490,82120,45622,54747,364.98,30415,83.3,5748,11.5,581.32,1339,17.89
2020-02-07,LE1,Kent,50.3163,0.9802,4,2,2,6,11,1,6,24,4,yes,yes,4,yes,1,123708,55668,30927,37112,247.42,30927,84.7,17341,34.68,1336.13,1743,37.31
2020-02-08,CT1,Essex,50.6585,-3.7971,3,2,3,8,19,7,2,12,3,no,no,0,no,1,153484,69067,38371,46045,306.97,51161,140.2,6188,12.38,1959.52,495,58.59
2020-02-09,LE1,Kent,54.2937,-2.7911,2,3,1,4,8,4,3,12,0,yes,no,4,no,0,62441,28098,15610,18732,124.88,31220,85.5,9681,19.36,1440.06,801,186.28
2020-02-10,NR1,Leicestershire,53.1689,-2.2974,3,1,2,6,13,5,2,13,4,yes,no,4,no,1,126888,57099,31722,38066,253.78,42296,115.9,2513,5.03,1392.97,770,176.66
2020-02-11,GU1,Derbyshire,51.266,-0.6071,2,2,1,20,17,4,5,22,0,yes,yes,2,no,1,206141,92763,51535,61842,412.28,103070,282.4,10369,20.74,1318.78,1319,182.36
2020-02-12,LA1,Norfolk,52.7765,-1.0624,1,3,2,17,7,4,9,11,3,no,no,3,no,3,98224,44200,24556,29467,196.45,98224,269.1,11800,23.6,1199.82,1483,81.89
2020-02-13,CT1,Leicestershire,52.6379,-2.7995,2,1,2,14,10,1,0,14,4,no,yes,3,no,2,135109,60799,33777,40532,270.22,67554,185.1,1501,3.0,1908.48,1935,54.01
2020-02-14,CM1,Lancashire,53.2772,-3.0967,5,3,1,10,13,7,9,5,4,no,yes,3,no,1,194550,87547,48637,58365,389.1,38910,106.6,9086,18.17,1178.76,1399,46.42
2020-02-15,CT1,Leicestershire,51.1659,-2.6976,3,3,2,14,18,5,6,8,4,yes,yes,1,no,2,204055,91824,51013,61216,408.11,68018,186.4,13280,26.56,1393.93,617,177.57
2020-02-16,NR1,Suffolk,54.322,-1.2361,1,3,1,11,13,1,9,24,3,no,yes,2,no,2,93767,42195,23441,28130,187.53,93767,256.9,5331,10.66,1529.91,400,53.93
2020-02-17,CM1,Cheshire,51.5468,-2.5085,4,1,2,9,19,6,7,8,2,yes,no,0,no,2,177929,80068,44482,53378,355.86,44482,121.9,14531,29.06,1149.88,1832,110.86
2020-02-18,LA1,Devon,53.4707,1.2118,2,1,2,10,11,7,2,27,3,yes,yes,3,no,2,116735,52530,29183,35020,233.47,58367,159.9,7337,14.67,1797.9,1694,73.03
2020-02-19,NR1,Norfolk,50.0806,-1.4487,2,2,2,12,5,6,8,18,1,no,no,2,no,1,90462,40707,22615,27138,180.92,45231,123.9,3306,6.61,241.04,1842,104.8
2020-02-20,TR1,Kent,51.8633,-3.6766,2,2,3,13,16,7,1,9,NULL,no,no,1,no,0,160207,72093,40051,48062,320.41,80103,219.5,16308,32.62,911.48,180,75.7
2020-02-21,GU1,Essex,51.7585,0.011,3,4,2,4,4,1,9,9,3,yes,no,2,no,1,86429,38893,21607,25928,172.86,28809,78.9,17867,35.73,1309.93,1458,65.66
2020-02-22,LA1,Cheshire,52.7174,-2.1914,3,3,2,6,9,4,9,23,1,yes,yes,0,no,0,95239,42857,23809,28571,190.48,31746,87.0,1429,2.86,234.15,1404,91.19
2020-02-23,LE1,Surrey,50.3637,-0.4058,3,2,3,11,19,6,8,25,0,no,yes,3,no,0,181802,81810,45450,54540,363.6,60600,166.0,2190,4.38,1886.42,206,73.26
2020-02-24,TR1,Cheshire,53.9507,-2.4622,4,4,2,10,5,2,4,9,1,no,yes,0,yes,2,114868,51690,28717,34460,229.74,28717,78.7,1845,3.69,1687.48,1753,169.54
2020-02-25,CH1,Essex,51.0889,-0.8609,2,3,1,7,14,6,5,28,4,yes,yes,1,no,1,114097,51343,28524,34229,228.19,57048,156.3,15363,30.73,594.26,1265,120.32
2020-02-26,LA1,Essex,53.3852,0.2468,4,2,3,16,11,2,1,15,2,yes,no,0,no,3,178867,80490,44716,53660,357.73,44716,122.5,11692,23.38,797.19,447,43.47
2020-02-27,CH1,Suffolk,54.0161,1.104,2,2,1,4,16,7,4,6,3,no,yes,1,no,0,93976,42289,23494,28192,187.95,46988,128.7,5908,11.82,1418.87,541,54.83
2020-02-28,CM1,Cheshire,52.8094,-2.5638,4,1,1,19,8,4,5,19,3,yes,yes,0,no,0,166196,74788,41549,49858,332.39,41549,113.8,9422,18.84,813.83,1488,20.18
2020-02-29,TR1,Leicestershire,53.7044,-2.1583,3,4,1,10,5,4,4,18,4,yes,yes,1,no,1,103940,46773,25985,31182,207.88,34646,94.9,7765,15.53,1742.17,510,66.94
2020-03-01,GU1,Cheshire,53.3093,-1.4465,3,2,1,4,14,1,3,18,2,yes,yes,2,no,3,91412,41135,22853,27423,182.82,30470,83.5,5308,10.62,647.25,140,137.21
2020-03-02,LE1,Derbyshire,51.7776,1.0995,3,3,1,17,15,5,7,12,2,yes,no,2,no,3,196106,88247,49026,58831,392.21,65368,179.1,11520,23.04,1672.92,1559,44.76
2020-03-03,LE1,Suffolk,54.0443,0.9576,3,2,1,4,8,6,1,24,4,no,yes,2,no,0,100821,45369,25205,30246,201.64,33607,92.1,7654,15.31,1036.28,1303,28.85
2020-03-04,NR1,Yorkshire,51.4735,-3.5057,1,3,2,13,5,1,0,29,2,no,yes,2,no,1,63576,28609,15894,19072,127.15,63576,174.2,14790,29.58,1016.07,1633,70.99
2020-03-05,LE1,Yorkshire,52.8561,-3.2744,4,1,1,16,9,1,1,12,4,no,yes,0,no,3,158926,71516,39731,47677,317.85,39731,108.9,11510,23.02,503.19,1927,126.38
2020-03-06,YO1,Derbyshire,53.727,-1.2747,1,4,1,12,11,3,3,9,1,yes,yes,4,no,2,110961,49932,27740,33288,221.92,110961,304.0,6998,14.0,1970.07,819,99.83
2020-03-07,CT1,Lancashire,51.8948,-3.4136,1,4,2,9,5,1,0,9,4,yes,yes,1,no,3,65818,29618,16454,19745,131.64,65818,180.3,15072,30.14,820.7,1045,73.12
2020-03-08,EX1,Yorkshire,51.5138,-2.0993,3,2,1,16,9,5,8,29,3,no,no,1,no,0,160297,72133,40074,48089,320.59,53432,146.4,3226,6.45,568.32,966,177.76
2020-03-09,GU1,Derbyshire,52.2967,-3.1839,4,3,1,15,9,1,0,18,0,yes,yes,4,no,2,134788,60654,33697,40436,269.58,33697,92.3,14452,28.9,258.4,608,99.03
2020-03-10,TR1,Cornwall,54.0898,-0.5018,1,3,2,4,4,4,4,9,1,yes,yes,1,no,3,41888,18849,10472,12566,83.78,41888,114.8,13638,27.28,1088.32,1298,96.46
2020-03-11,YO1,Leicestershire,54.6496,1.2222,5,4,2,12,12,5,NULL,13,3,yes,no,1,no,3,187213,84245,46803,56163,374.43,37442,102.6,10933,21.87,258.07,1911,16.01
2020-03-12,GU1,Cheshire,52.7254,1.482,6,2,2,3,18,6,8,26,1,no,yes,2,no,3,155686,70058,38921,46705,311.37,25947,71.1,18432,36.86,1019.65,1876,131.48
2020-03-13,TR1,Leicestershire,53.3073,-1.9362,3,2,2,3,19,4,8,15,3,yes,no,1,no,0,120844,54379,30211,36253,241.69,40281,110.4,18151,36.3,1824.76,1707,97.28
2020-03-14,IP1,Derbyshire,54.5164,-0.7054,3,3,2,5,15,7,7,21,2,yes,no,1,no,2,127248,57261,31812,38174,254.5,42416,116.2,14010,28.02,1096.35,1239,37.56
2020-03-15,IP1,Devon,50.4927,0.7095,4,3,2,13,11,3,5,16,4,no,yes,3,no,0,167837,75526,41959,50351,335.67,41959,115.0,3198,6.4,277.96,567,56.31
2020-03-16,CH1,Cheshire,51.1604,-3.354,2,2,3,11,15,3,5,16,3,no,yes,1,no,3,140171,63076,35042,42051,280.34,70085,192.0,4563,9.13,675.87,1795,48.45
2020-03-17,GU1,Cornwall,53.5445,-0.2074,3,3,2,15,17,5,8,28,3,no,yes,4,no,1,206974,93138,51743,62092,413.95,68991,189.0,17223,34.45,287.74,218,33.2
2020-03-18,IP1,Cornwall,54.1187,-1.7514,5,1,2,6,7,6,1,20,2,yes,yes,1,yes,2,130882,58896,32720,39264,261.76,26176,71.7,17690,35.38,1787.66,1769,92.75
2020-03-19,TR1,Leicestershire,54.2851,-2.8662,5,3,1,8,10,7,2,5,0,no,yes,4,no,1,153056,68875,38264,45916,306.11,30611,83.9,15708,31.42,632.19,689,79.02
2020-03-20,CH1,Kent,52.0755,-1.7849,5,2,2,4,7,2,5,22,0,yes,yes,1,yes,0,114126,51356,28531,34237,228.25,22825,62.5,3668,7.34,317.1,261,78.42
2020-03-21,LE1,Cheshire,50.4467,-3.5822,2,2,1,11,11,7,7,10,4,no,yes,4,no,2,131506,59177,32876,39451,263.01,65753,180.1,14449,28.9,1936.16,815,57.79
2020-03-22,TR1,Norfolk,52.1889,-0.1753,2,2,2,20,13,2,6,9,2,no,yes,1,no,2,170765,76844,42691,51229,341.53,85382,233.9,13743,27.49,1076.85,133,92.92
2020-03-23,CH1,Cornwall,51.1537,-2.6099,2,2,2,6,NULL,5,7,22,1,no,yes,1,no,3,76305,34337,19076,22891,152.61,38152,104.5,3425,6.85,930.15,115,114.03
2020-03-24,GU1,Devon,51.456,-2.2873,2,2,2,3,5,5,4,17,3,no,yes,3,no,0,72264,32518,18066,21679,144.53,36132,99.0,9129,18.26,1868.74,1551,126.19
2020-03-25,YO1,Suffolk,53.8613,-3.3341,2,2,3,3,6,7,8,10,4,yes,yes,3,no,3,82231,37003,20557,24669,164.46,41115,112.6,9472,18.94,1155.51,390,51.77
2020-03-26,NR1,Lancashire,50.3776,0.7556,2,2,3,19,17,7,5,11,0,yes,no,1,no,3,215788,97104,53947,64736,431.58,107894,295.6,18593,37.19,706.62,846,148.29
2020-03-27,LE1,Kent,54.1379,-1.2861,3,1,1,5,7,4,9,7,1,yes,no,3,no,0,93422,42039,23355,28026,186.84,31140,85.3,7207,14.41,1625.55,1437,15.14
2020-03-28,LA1,Suffolk,52.1383,-0.8532,4,3,1,19,14,3,1,15,2,no,yes,0,no,3,205589,92515,51397,61676,411.18,51397,140.8,16019,32.04,689.21,1113,152.58
2020-03-29,YO1,Kent,52.9803,-0.8681,4,2,3,5,16,5,5,12,3,yes,yes,0,no,0,147177,66229,36794,44153,294.35,36794,100.8,14975,29.95,997.09,894,63.76
2020-03-30,CM1,Devon,50.4483,-1.7423,4,2,2,6,9,1,3,8,3,no,yes,2,no,1,108565,48854,27141,32569,217.13,27141,74.4,4390,8.78,1645.71,1036,80.3
2020-03-31,TR1,Leicestershire,51.6868,-2.9411,1,3,2,15,NULL,4,4,14,NULL,no,no,2,no,3,155545,69995,38886,46663,311.09,155545,426.2,10267,20.53,1876.59,129,120.34
2020-04-01,CM1,Essex,50.4485,0.0982,1,4,2,17,8,3,4,13,0,yes,no,0,no,2,93010,41854,23252,27903,186.02,93010,254.8,7398,14.8,1290.62,1540,125.99
2020-04-02,YO1,Cheshire,54.8077,-3.3012,4,3,2,14,13,4,0,27,4,no,no,2,yes,2,179387,80724,44846,53816,358.77,44846,122.9,7181,14.36,1108.66,839,90.02
2020-04-03,CH1,Derbyshire,54.0363,-3.4287,3,1,3,5,16,3,9,17,3,no,no,1,no,1,118702,53415,29675,35610,237.4,39567,108.4,11722,23.44,337.11,451,188.2
2020-04-04,LA1,Surrey,52.2982,-0.0942,3,3,2,10,13,1,4,23,3,no,no,1,no,2,141664,63748,35416,42499,283.33,47221,129.4,5980,11.96,1310.63,561,173.08
2020-04-05,LE1,Norfolk,51.118,-2.8514,1,4,2,3,10,3,9,19,3,no,yes,2,no,1,66845,30080,16711,20053,133.69,66845,183.1,3247,6.49,787.87,1171,52.76
2020-04-06,LE1,Suffolk,54.6673,-2.3127,2,2,2,20,9,4,8,9,3,no,yes,0,yes,1,153936,69271,38484,46180,307.87,76968,210.9,17647,35.29,1126.1,1995,121.89
2020-04-07,LE1,Cheshire,51.723,-1.3862,3,4,3,15,17,7,7,29,1,yes,no,4,no,3,206878,93095,51719,62063,413.76,68959,188.9,16493,32.99,1540.28,1936,146.99
2020-04-08,LA1,Norfolk,50.8049,-1.5286,4,2,2,9,18,3,7,17,2,yes,yes,1,yes,0,176179,79280,44044,52853,352.36,44044,120.7,1745,3.49,1352.37,1463,51.22
2020-04-09,EX1,Essex,52.8158,-0.1028,5,2,2,15,18,4,2,16,1,no,no,3,no,1,238417,107287,59604,71525,476.83,47683,130.6,7314,14.63,374.48,1634,13.51
2020-04-10,LA1,Surrey,54.7189,-0.5711,3,2,3,19,19,5,8,13,2,no,yes,4,no,2,252924,113815,63231,75877,505.85,84308,231.0,17882,35.76,915.04,1945,195.36
2020-04-11,NR1,Norfolk,50.0192,-0.4558,3,3,2,15,7,1,8,28,1,yes,yes,3,no,2,115682,52056,28920,34704,231.36,38560,105.6,8990,17.98,559.09,866,192.09
2020-04-12,LA1,Norfolk,51.1906,-0.0727,4,2,2,15,14,4,9,12,4,no,yes,1,no,0,201820,90819,50455,60546,403.64,50455,138.2,9652,19.3,472.01,1988,70.87
2020-04-13,YO1,Suffolk,54.6922,-2.3906,3,1,2,13,13,2,6,13,2,yes,yes,2,no,3,149496,67273,37374,44848,298.99,49832,136.5,19842,39.68,596.64,589,55.43
2020-04-14,EX1,Yorkshire,50.8554,-2.2272,3,1,2,16,12,2,5,25,3,yes,yes,3,no,2,156697,70513,39174,47009,313.39,52232,143.1,17151,34.3,1857.23,1600,39.38
2020-04-15,LE1,Surrey,50.5662,-1.591,5,2,1,12,10,6,8,17,2,no,yes,0,no,3,181204,81541,45301,54361,362.41,36240,99.3,5674,11.35,1482.52,1671,140.56
2020-04-16,YO1,Cheshire,52.8509,-2.309,4,2,2,10,4,6,5,13,3,no,no,3,no,1,125695,56562,31423,37708,251.39,31423,86.1,12269,24.54,1834.59,1002,153.51
2020-04-17,YO1,Essex,54.3092,1.4172,5,2,2,8,11,3,2,10,4,no,yes,0,yes,2,159062,71577,39765,47718,318.12,31812,87.2,16328,32.66,1111.63,1916,89.88
2020-04-18,DE1,Surrey,52.3855,0.4773,2,2,2,14,7,5,5,10,2,yes,yes,4,no,1,106471,47911,26617,31941,212.94,53235,145.8,18551,37.1,202.02,1774,56.13
2020-04-19,CT1,Leicestershire,54.9728,-3.0944,3,4,2,9,10,5,1,15,NULL,yes,yes,4,no,2,113352,51008,28338,34005,226.7,37784,103.5,7584,15.17,261.98,1894,95.26
2020-04-20,EX1,Devon,53.3959,-3.9692,4,2,2,20,14,2,1,14,3,no,no,2,no,2,223166,100424,55791,66949,446.33,55791,152.9,19493,38.99,460.45,1832,108.11
2020-04-21,YO1,Leicestershire,50.3704,-3.7647,1,2,3,20,5,3,6,18,2,no,no,0,no,0,85090,38290,21272,25527,170.18,85090,233.1,9916,19.83,1605.3,1551,113.25
2020-04-22,CT1,Yorkshire,54.9642,-2.6577,4,1,1,5,19,5,7,10,1,yes,yes,2,no,1,144333,64949,36083,43299,288.67,36083,98.9,2169,4.34,562.98,1870,94.24
2020-04-23,CT1,Devon,52.0395,-3.3714,2,2,1,11,15,5,6,11,2,yes,yes,3,no,0,139941,62973,34985,41982,279.88,69970,191.7,11490,22.98,382.87,399,10.71
2020-04-24,EX1,Essex,51.437,-1.0666,4,1,2,8,6,7,4,13,3,yes,no,2,no,0,132221,59499,33055,39666,264.44,33055,90.6,11831,23.66,1749.79,940,99.64
2020-04-25,DE1,Suffolk,52.7894,0.719,3,2,2,3,4,3,3,7,0,yes,yes,3,no,0,75689,34060,18922,22706,151.38,25229,69.1,14733,29.47,611.37,1299,75.98
2020-04-26,CM1,Suffolk,51.5215,0.0521,2,3,2,12,5,4,7,16,0,no,yes,4,no,0,75732,34079,18933,22719,151.46,37866,103.7,5753,11.51,1104.35,686,115.75
2020-04-27,CH1,Essex,50.4323,-2.8142,3,1,1,10,14,2,8,20,1,yes,no,2,no,3,138579,62360,34644,41573,277.16,46193,126.6,5877,11.75,811.05,988,23.18
2020-04-28,NR1,Kent,50.0071,-1.8039,3,2,2,19,8,6,6,17,4,no,yes,4,no,3,150620,67779,37655,45186,301.24,50206,137.6,19928,39.86,1813.79,1894,177.05
2020-04-29,CH1,Essex,52.2479,-1.2066,3,1,2,5,5,7,0,10,0,yes,no,3,no,3,88590,39865,22147,26577,177.18,29530,80.9,6701,13.4,1468.55,1707,176.33
2020-04-30,LA1,Leicestershire,54.1843,0.4561,2,3,2,5,16,5,3,17,4,yes,yes,0,no,1,110671,49801,27667,33201,221.34,55335,151.6,14066,28.13,1017.05,1109,117.18
2020-05-01,LE1,Yorkshire,52.8616,0.6152,4,3,2,5,9,7,3,9,3,yes,yes,1,no,3,131352,59108,32838,39405,262.7,32838,90.0,17834,35.67,1753.51,455,150.05
2020-05-02,NR1,Cornwall,54.996,1.0035,3,1,2,9,9,7,9,8,2,yes,no,3,no,1,131260,59067,32815,39378,262.52,43753,119.9,18657,37.31,1508.12,410,93.2
2020-05-03,LA1,Suffolk,51.4342,-1.1992,3,2,2,13,9,4,2,12,4,no,yes,3,no,2,144606,65072,36151,43381,289.21,48202,132.1,2468,4.94,1655.98,1708,122.16
2020-05-04,YO1,Lancashire,51.4023,-0.1815,1,4,2,20,15,4,3,7,3,no,yes,1,no,3,183590,82615,45897,55077,367.18,183590,503.0,2703,5.41,1959.62,711,127.36
2020-05-05,LE1,Yorkshire,50.7987,-3.3851,5,2,2,7,14,4,8,6,3,no,no,1,no,2,169448,76251,42362,50834,338.9,33889,92.8,9093,18.19,565.67,580,77.24
2020-05-06,TR1,Derbyshire,50.8203,-0.8909,2,2,3,4,19,4,0,24,3,yes,yes,4,no,3,100262,45117,25065,30078,200.52,50131,137.3,18416,36.83,564.48,1338,192.57
2020-05-07,EX1,Yorkshire,51.4259,-2.6322,3,2,3,16,19,1,1,23,1,no,yes,3,no,0,201759,90791,50439,60527,403.52,67253,184.3,13701,27.4,1201.7,1318,124.49
2020-05-08,NR1,Yorkshire,53.9642,-1.6256,4,2,2,3,17,1,6,11,1,no,yes,3,no,3,101959,45881,25489,30587,203.92,25489,69.8,13777,27.55,1158.7,1166,198.2
2020-05-09,NR1,Norfolk,54.5288,-0.5127,2,4,1,6,18,6,8,16,4,no,yes,2,no,1,128468,57810,32117,38540,256.94,64234,176.0,14716,29.43,1764.41,1763,92.15
2020-05-10,YO1,Yorkshire,54.8754,-2.5866,3,4,1,16,6,3,6,8,NULL,no,no,1,no,2,128443,57799,32110,38532,256.89,42814,117.3,1853,3.71,480.64,1309,16.14
2020-05-11,CM1,Suffolk,51.1614,-3.713,2,3,2,17,14,2,0,14,4,yes,yes,0,no,0,175373,78917,43843,52611,350.75,87686,240.2,5219,10.44,965.08,1564,67.46
2020-05-12,CT1,Cornwall,54.4065,-3.9437,4,2,2,19,6,3,6,13,0,yes,no,3,no,3,138937,62521,34734,41681,277.87,34734,95.2,1692,3.38,1150.24,973,133.65
2020-05-13,LE1,Cornwall,51.6413,-3.8781,3,2,2,5,13,7,5,16,4,yes,yes,2,no,0,124868,56190,31217,37460,249.74,41622,114.0,2325,4.65,1035.45,1884,182.97
